,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
AF01_AC.bmp,0.4958982,0.1467623,0.5452967,0.33075595,0.11114081,0.0,0.072201625,0.04571616,0.0,0.03958943,0.2987662,0.3448477,0.5860861,0.0,0.38970366,0.64365107,0.018438328,0.24968438,0.458073,0.052182674
AF01_AO.bmp,0.28282574,0.06513187,0.94215804,0.2261429,0.2924773,0.0,0.75365716,0.74331754,0.0,0.07101572,0.18596113,0.47948033,0.26864973,1.0,0.5671504,0.0069617047,0.9997049,0.8276751,0.0933763,0.9075366
AF01_CC.bmp,0.40427643,0.12926006,0.3571609,0.32096177,0.09676662,0.0,0.08362923,0.8175918,1.0,0.025323309,0.24235477,0.059405185,0.3759226,0.0,0.18843807,0.26280707,0.3097081,0.16813238,0.10484563,0.06670235
AF01_CO.bmp,0.43096966,0.28969544,0.33362132,0.32253793,0.278041,0.0,0.068755284,0.09137537,1.0,0.2741253,0.42756164,0.32658076,0.50097907,1.0,0.5283845,0.1306554,0.9367913,0.3131771,0.15925446,0.027338037
AF01_DC.bmp,0.29075134,0.14338572,0.7456634,0.21797138,0.15039822,1.0,0.53865695,0.106962144,0.0,0.05554964,0.3779131,0.33726475,0.577663,0.0,0.434148,0.50456023,0.16287374,0.09781168,0.29284447,0.6759354
AF01_DO.bmp,0.43292877,0.075790234,0.96858305,0.21336545,0.7093748,1.0,0.8585379,0.95843333,0.0,0.3301584,0.44608214,0.60199225,0.2420904,1.0,0.43573663,0.009090078,0.9989323,0.79931295,0.103110515,0.9025956
AF01_FC.bmp,0.7137197,0.4744231,0.14642851,0.3868755,0.09287347,0.0,0.07447204,0.007892716,0.0,0.044935,0.47058,0.2001488,0.64313394,0.0,0.5001631,0.5766444,0.014624057,0.18770225,0.4611928,0.042590078
AF01_FO.bmp,0.6349234,0.56391484,0.28719288,0.5485366,0.083371274,0.0,0.116268985,0.23880002,0.0,0.060907133,0.11269543,0.5211945,0.3661822,0.0,0.547905,0.06409443,0.94915336,0.5057492,0.38492247,0.1401856
AF01_HC.bmp,0.56641585,0.15664203,0.1450109,0.2734317,0.8123769,0.0,0.46218246,0.865821,0.0,0.9467239,0.7253791,0.22720066,0.46939003,1.0,0.4161234,0.7620597,0.4638993,0.4970625,0.35537264,0.21261704
AF01_HE.bmp,0.3802385,0.2909815,0.25717023,0.24429874,0.8715879,1.0,0.49443513,0.5893799,1.0,0.9617932,0.8063552,0.074480355,0.22717509,1.0,0.19835512,0.067555144,0.9984882,0.7048288,0.107847,0.051844355
